Country Name,Country Code,Series Name,Series Code,Year,Money
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,2019,19291104008.0
Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,2019,978000000000.0
Africa Western and Central,AFW,GDP (current US$),NY.GDP.MKTP.CD,2019,792000000000.0
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,2019,15286612573.0
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,2019,171000000000.0
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,2019,638000000.0
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,2019,3155065488.0
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,2019,89417190341.0
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,2019,1661962963.0
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,2019,445000000000.0
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,2019,13672802158.0
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,2019,1400000000000.0
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,2019,445000000000.0
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,2019,48174235294.0
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,2019,13578800000.0
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,2019,38474521277.0
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,2019,303000000000.0
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,2019,5209000000.0
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,2019,64409647194.0
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,2019,533000000000.0
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,2019,1982518541.0
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,2019,14391686309.0
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,2019,7484113000.0
Bhutan,BTN,GDP (current US$),NY.GDP.MKTP.CD,2019,2530547158.0
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,2019,40895322851.0
