,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,target
0,2.6,1360,150,11.9,1046,166,1056,1692,1268,13.6,48.9,0.7578,113
1,2.0,1292,112,9.4,955,103,1174,1559,972,13.3,47.7,0.7255,92
2,2.2,1402,88,9.0,939,131,1140,1555,1074,11.9,54.0,0.7502,114
3,2.2,1376,80,9.2,948,172,1092,1584,1203,11.0,60.0,0.7867,122
4,1.6,1272,51,6.5,836,131,1205,1490,1110,11.2,59.6,0.7888,116
5,1.2,1197,38,4.7,750,89,1337,1393,949,11.2,59.2,0.7848,96
6,1.2,1185,31,3.6,690,62,1462,1333,733,11.3,56.8,0.7603,77
7,1.0,1136,31,3.3,672,62,1453,1333,730,10.7,60.0,0.7702,76
8,0.9,1094,24,2.3,609,45,1579,1276,620,10.7,59.7,0.7648,60
9,0.6,1010,19,1.7,561,-200,1705,1235,501,10.3,60.2,0.7517,-200
10,-200.0,1011,14,1.3,527,21,1818,1197,445,10.1,60.5,0.7465,34
11,0.7,1066,8,1.1,512,16,1918,1182,422,11.0,56.2,0.7366,28
12,0.7,1052,16,1.6,553,34,1738,1221,472,10.5,58.1,0.7353,48
13,1.1,1144,29,3.2,667,98,1490,1339,730,10.2,59.6,0.7417,82
14,2.0,1333,64,8.0,900,174,1136,1517,1102,10.8,57.4,0.7408,112
15,2.2,1351,87,9.5,960,129,1079,1583,1028,10.5,60.6,0.7691,101
16,1.7,1233,77,6.3,827,112,1218,1446,860,10.8,58.4,0.7552,98
17,1.5,1179,43,5.0,762,95,1328,1362,671,10.5,57.9,0.7352,92
18,1.6,1236,61,5.2,774,104,1301,1401,664,9.5,66.8,0.7951,95
19,1.9,1286,63,7.3,869,146,1162,1537,799,8.3,76.4,0.8393,112
20,2.9,1371,164,11.5,1034,207,983,1730,1037,8.0,81.1,0.8736,128
21,2.2,1310,79,8.8,933,184,1082,1647,946,8.3,79.8,0.8778,126
22,2.2,1292,95,8.3,912,193,1103,1591,957,9.7,71.2,0.8569,131
23,2.9,1383,150,11.2,1020,243,1008,1719,1104,9.8,67.6,0.8185,135
24,4.8,1581,307,20.8,1319,281,799,2083,1409,10.3,64.2,0.8065,151
25,6.9,1776,461,27.4,1488,383,702,2333,1704,9.7,69.3,0.8319,172
26,6.1,1640,401,24.0,1404,351,743,2191,1654,9.6,67.8,0.8133,165
27,3.9,1313,197,12.8,1076,240,957,1707,1285,9.1,64.0,0.7419,136
28,1.5,965,61,4.7,749,94,1325,1333,821,8.2,63.4,0.6905,85
29,1.0,913,26,2.6,629,47,1565,1252,552,8.2,60.8,0.6657,53
30,1.7,1080,55,5.9,805,122,1254,1375,816,8.3,58.5,0.6438,97
31,1.9,1044,53,6.4,829,133,1247,1378,832,7.7,59.7,0.6308,110
32,1.4,988,40,4.1,718,82,1396,1304,692,7.1,61.8,0.6276,91
33,0.8,889,21,1.9,574,-200,1680,1187,512,7.0,62.3,0.6261,-200
34,-200.0,831,10,1.1,506,21,1893,1134,384,6.1,65.9,0.6248,32
35,0.6,847,7,1.0,501,30,1895,1155,394,6.3,65.0,0.6233,44
36,0.8,927,17,1.8,571,56,1685,1223,487,6.8,62.9,0.6234,71
37,1.4,1091,33,4.4,730,109,1387,1361,748,6.4,65.1,0.6316,104
38,4.4,1587,202,17.9,1236,307,897,1900,1400,7.3,63.1,0.6499,141
39,-200.0,1545,-200,22.1,1353,-200,767,2058,1588,9.2,56.2,0.6561,-200
40,3.1,1350,208,14.0,1118,187,912,1712,1237,13.2,41.7,0.632,122
41,2.7,1263,166,11.6,1037,216,969,1598,1167,14.3,38.4,0.6243,143
42,2.1,1206,114,10.2,986,143,1035,1537,959,15.0,36.5,0.6195,113
43,2.5,1252,140,11.0,1016,160,1008,1593,983,16.1,34.5,0.6262,116
44,2.7,1287,169,12.8,1078,163,949,1660,1061,16.3,35.7,0.656,123
45,2.9,1353,185,14.2,1122,190,922,1740,1139,15.8,37.0,0.661,126
46,2.8,1309,165,12.7,1073,178,954,1657,1112,15.9,37.2,0.6657,120
47,2.4,1274,133,11.7,1041,150,1006,1610,994,16.9,34.3,0.6549,119
48,3.9,1510,233,19.3,1277,206,812,1910,1410,15.1,39.6,0.6766,149
49,3.7,1525,242,18.2,1246,202,821,1847,1448,14.4,43.4,0.7084,145
50,6.6,1843,488,32.6,1610,340,624,2390,1887,12.9,50.5,0.7478,170
51,4.4,1598,333,20.1,1299,274,752,1941,1627,12.1,53.3,0.7536,149
52,3.5,1484,215,14.3,1127,253,839,1723,1491,11.0,59.1,0.774,139
53,5.4,1677,367,21.8,1346,300,741,2062,1657,9.7,64.6,0.7771,134
