CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,target
2.5,1160,-200,16.2,1185,396,873,1522,1162,35.1,17.5,0.9733,168
3.7,1468,-200,21.0,1323,530,496,1913,1641,24.4,52.5,1.5807,105
2.0,1183,-200,8.4,914,263,604,1387,1078,18.7,54.5,1.1644,119
-200.0,1026,-200,12.0,1048,124,767,1651,912,34.6,23.5,1.2691,118
1.6,1029,-200,5.0,762,221,820,1049,1065,6.9,60.0,0.5977,153
4.0,1392,-200,16.4,1192,856,543,1508,1795,13.7,59.9,0.9335,183
0.5,822,-200,2.4,612,-200,1094,1254,594,21.8,51.4,1.3272,-200
1.2,1013,-200,4.8,754,146,729,1245,954,14.5,67.8,1.1171,101
-200.0,1086,-200,9.2,947,181,724,1724,1134,24.7,46.8,1.4337,115
2.0,1106,211,8.9,935,132,958,1570,819,14.2,48.4,0.778,96
2.9,1171,-200,14.6,1135,161,654,1797,1073,38.5,23.8,1.5944,146
1.6,1050,-200,8.5,921,91,743,1683,851,31.3,39.5,1.7798,70
-200.0,889,-200,4.0,710,-200,889,1566,713,25.9,55.1,1.8117,-200
1.7,1077,-200,8.5,920,169,778,1509,935,23.6,50.0,1.4383,99
5.9,1461,-200,29.1,1529,668,450,2111,1573,20.2,68.6,1.6034,96
1.3,1065,-200,5.5,789,79,936,1620,929,18.4,65.8,1.3802,81
1.2,900,-200,3.8,701,117,1955,1127,749,9.1,80.0,0.9299,76
4.2,1523,-200,24.9,1428,603,458,2114,1363,20.2,86.5,2.0224,116
2.6,1206,-200,15.8,1175,275,618,1746,1068,29.8,38.0,1.5642,130
0.6,862,-200,1.4,540,73,1110,999,670,7.2,74.4,0.7581,55
4.4,1444,-200,22.1,1354,248,655,1956,1437,25.7,27.9,0.908,172
1.6,942,-200,8.3,912,144,842,1551,814,24.8,33.1,1.0222,106
-200.0,947,-200,3.6,689,-200,1009,1454,640,20.6,78.8,1.8885,-200
4.2,1435,-200,21.6,1341,804,501,1787,1480,12.9,73.8,1.0937,131
-200.0,943,-200,8.0,900,-200,816,1129,1064,8.5,59.7,0.6649,-200
5.2,1433,-200,28.6,1518,693,499,1973,1770,19.0,47.8,1.0434,170
-200.0,855,25,0.8,478,20,1701,1261,401,10.1,76.8,0.9483,31
0.7,893,48,2.0,587,46,1368,1219,433,10.7,58.2,0.7459,58
0.9,928,-200,3.6,687,48,1025,1491,528,27.6,43.7,1.5877,66
2.0,1128,-200,7.8,889,296,743,1160,1212,10.0,61.8,0.7576,110
2.3,1130,-200,8.1,902,280,715,1289,1117,9.8,81.4,0.9855,86
2.5,1306,111,10.2,987,138,1004,1554,1078,17.6,35.1,0.7012,124
3.1,1323,-200,14.9,1144,457,502,1405,1568,18.8,33.5,0.7186,187
0.9,858,-200,1.6,554,60,1207,1047,663,11.2,69.0,0.9159,45
4.0,1342,-200,23.0,1377,261,567,2017,1515,37.1,21.3,1.3223,181
3.5,1335,-200,21.6,1340,236,519,2141,1651,29.0,37.6,1.4866,133
1.4,991,-200,4.6,744,187,863,1069,949,7.0,73.6,0.7417,95
0.7,904,-200,2.1,593,125,1012,894,472,13.5,37.8,0.5815,93
0.7,933,26,2.6,625,-200,1292,1332,884,13.1,57.9,0.8666,-200
2.6,1107,-200,7.4,874,326,721,984,1208,5.7,42.1,0.3883,187
2.0,1042,-200,6.5,834,304,808,1267,914,12.4,77.5,1.1115,106
0.4,828,-200,2.5,618,23,1039,1354,560,23.6,49.2,1.4153,25
0.5,804,-200,2.2,601,57,1122,1281,646,19.5,63.5,1.4269,50
4.3,1490,-200,24.8,1424,592,465,2033,1604,19.5,66.9,1.4999,75
2.2,1247,-200,10.3,989,301,557,1383,1183,22.2,36.2,0.956,143
0.8,880,-200,2.9,649,30,1056,1465,529,26.2,45.7,1.5324,48
1.0,975,-200,4.5,736,86,1069,1459,611,15.9,55.3,0.991,85
0.7,929,25,2.3,608,-200,1376,1364,826,13.6,62.1,0.9636,-200
4.5,1738,-200,20.4,1309,743,424,1543,2494,10.1,59.9,0.7379,231
-200.0,885,-200,1.4,534,-200,1144,1036,529,9.1,73.9,0.8576,-200
3.6,1252,-200,20.9,1320,451,499,2001,1374,20.6,62.3,1.4915,99
0.9,898,-200,4.2,721,-200,912,1264,594,27.1,33.3,1.1762,-200
0.6,911,-200,2.2,599,32,1189,1517,633,16.1,80.0,1.4562,48
-200.0,1431,-200,27.1,1482,-200,679,2025,1431,29.4,20.5,0.8262,-200
-200.0,917,-200,5.6,794,-200,907,946,740,13.3,27.5,0.4185,-200
2.7,695,-200,4.0,709,264,1236,717,645,12.0,14.5,0.2029,126
0.5,766,-200,0.5,448,33,1494,734,321,1.0,54.7,0.3657,31
2.3,869,-200,5.2,772,183,1051,966,641,9.8,41.9,0.5083,102
-200.0,1296,-200,10.1,983,-200,845,1626,802,23.0,36.2,1.0053,-200
1.9,1107,-200,9.0,940,255,689,1403,985,15.5,73.3,1.2845,73
2.2,933,-200,10.3,990,555,849,956,1104,14.8,17.9,0.2977,192
0.9,965,-200,3.7,692,45,927,1549,653,23.8,63.5,1.8495,52
3.7,1513,-200,21.5,1338,214,764,1957,1397,23.0,26.8,0.7446,156
0.9,984,-200,3.5,681,224,852,1020,970,5.3,73.2,0.6577,101
1.6,1060,-200,8.6,925,339,772,1649,1161,21.1,70.1,1.7366,109
2.5,1216,-200,14.4,1130,117,655,1994,1246,30.5,42.3,1.8173,115
1.2,1022,-200,4.1,715,192,806,1004,831,17.8,30.7,0.6205,118
1.6,1144,-200,6.3,826,221,661,1158,1300,14.7,48.0,0.7977,147
0.9,939,-200,4.9,758,40,858,1544,664,26.7,49.5,1.7048,47
2.2,1312,-200,10.5,995,312,527,1488,1447,16.8,69.0,1.3135,124
3.5,1166,-200,8.2,909,351,691,1079,1680,4.8,61.9,0.537,136
2.3,1102,-200,7.9,897,326,715,1024,1196,5.7,42.1,0.3885,173
5.2,-200,-200,-200.0,-200,1089,-200,-200,-200,-200.0,-200.0,-200.0,217
-200.0,1141,-200,8.1,902,-200,905,1672,965,12.5,79.6,1.1538,-200
2.1,1153,-200,6.9,853,407,696,1027,1370,4.2,54.0,0.4483,217
0.8,792,-200,2.0,583,105,1972,946,517,12.3,48.7,0.6931,66
-200.0,1380,-200,26.3,1463,297,470,2322,1691,24.4,49.3,1.4814,150
3.4,1446,-200,17.5,1224,445,471,1706,1450,21.7,47.4,1.2184,153
1.8,1160,-200,11.7,1040,122,720,1810,961,35.6,27.2,1.5557,108
1.2,970,-200,4.0,710,150,833,1094,535,24.0,30.3,0.8925,100
3.6,1226,-200,19.1,1272,317,632,1901,1474,26.0,30.1,0.9953,157
1.8,1065,-200,9.8,970,77,698,1724,1049,25.7,50.7,1.6491,70
0.6,897,-200,4.5,738,72,936,1471,843,19.1,76.0,1.6668,42
2.8,1283,-200,14.0,1117,192,813,1751,1188,15.5,50.1,0.8744,127
1.5,1074,-200,7.6,884,63,764,1726,838,28.1,54.1,2.029,57
0.7,952,-200,4.6,742,49,892,1656,953,24.6,59.1,1.8013,57
2.1,1324,100,9.0,940,146,924,1587,1423,16.3,51.0,0.9341,121
0.7,828,-200,1.2,514,-200,1205,880,434,8.1,53.1,0.5742,-200
2.3,1184,222,10.2,983,169,823,1604,1166,16.6,48.7,0.9146,106
-200.0,1086,-200,11.9,1048,-200,1016,1580,888,30.6,18.6,0.8014,-200
1.7,1118,-200,10.6,999,69,706,1766,878,34.7,35.9,1.9528,79
2.4,1195,-200,15.2,1156,153,621,1897,1346,27.8,39.9,1.4682,99
2.7,1214,-200,13.9,1113,305,616,1664,1213,20.1,75.4,1.751,118
-200.0,901,-200,2.3,608,-200,1105,1299,646,21.8,55.2,1.4184,-200
2.5,1311,305,15.0,1147,166,681,1838,1351,16.7,51.9,0.9788,86
1.9,1058,-200,11.0,1016,209,673,1625,832,33.8,25.8,1.3338,101
-200.0,872,-200,1.7,558,114,1054,807,853,0.5,59.4,0.3841,101
1.0,963,-200,3.7,691,128,857,1075,512,22.5,32.9,0.8846,89
1.1,840,-200,3.1,661,185,1016,757,435,4.0,36.8,0.3016,125
4.1,1499,-200,16.9,1207,654,748,1530,1881,13.0,73.7,1.0957,143
-200.0,808,-200,1.4,534,-200,1243,853,480,8.7,43.4,0.4905,-200
-200.0,1578,-200,31.9,1595,-200,459,2181,1680,29.7,33.1,1.3546,-200
-200.0,1463,-200,24.5,1417,512,467,1900,1651,26.8,43.3,1.4977,156
4.0,1579,366,22.3,1359,252,724,1998,1671,25.3,26.1,0.8264,161
-200.0,786,-200,2.2,602,-200,1146,1123,584,15.0,56.4,0.9554,-200
2.0,1019,-200,7.4,874,287,1113,1235,905,14.5,56.5,0.9306,114
1.0,909,-200,4.3,728,221,933,948,905,7.8,47.4,0.5046,107
